Metric,Original_Model,Tuned_Model_Default,Tuned_Model_Optimal_Threshold,Improvement_Default,Improvement_Optimal
ROC_AUC,0.9597,0.9629849526146819,0.9629849526146819,0.0032849526146818686,0.0032849526146818686
PR_AUC,0.2048,0.24153389121810742,0.24153389121810742,0.03673389121810741,0.03673389121810741
Recall_Fire,0.7605,0.9245723172628305,0.8888024883359253,0.16407231726283056,0.1283024883359254
Precision_Fire,0.1434,0.08706158014205169,0.10575499629903774,-0.05633841985794831,-0.03764500370096226
F1_Score,0.2413,0.15913805795355684,0.1890193484372416,-0.08216194204644314,-0.05228065156275838
False_Alarm_Rate,0.0511,0.10908995458960023,0.08456483887620198,0.05798995458960023,0.033464838876201976
Specificity,0.9489,0.8909100454103998,0.915435161123798,-0.05798995458960021,-0.033464838876202
